0: output to I.dmc.o
351: Timestep is 1.15515625
1989: Timestep is 1.15515625
1169: Timestep is 1.15515625
636: Timestep is 1.15515625
352: Timestep is 1.15515625
1170: Timestep is 1.15515625
637: Timestep is 1.15515625
353: Timestep is 1.15515625
1990: Timestep is 1.15515625
1171: Timestep is 1.15515625
639: Timestep is 1.15515625
1440: Timestep is 1.15515625
354: Timestep is 1.15515625
106: Timestep is 1.15515625
1717: Timestep is 1.15515625
1991: Timestep is 1.15515625
896: Timestep is 1.15515625
107: Timestep is 1.15515625
1718: Timestep is 1.15515625
1441: Timestep is 1.15515625
355: Timestep is 1.15515625
1993: Timestep is 1.15515625
108: Timestep is 1.15515625
1719: Timestep is 1.15515625
1442: Timestep is 1.15515625
1994: Timestep is 1.15515625
897: Timestep is 1.15515625
109: Timestep is 1.15515625
1720: Timestep is 1.15515625
898: Timestep is 1.15515625
110: Timestep is 1.15515625
1721: Timestep is 1.15515625
899: Timestep is 1.15515625
111: Timestep is 1.15515625
1172: Timestep is 1.15515625
900: Timestep is 1.15515625
901: Timestep is 1.15515625
1173: Timestep is 1.15515625
902: Timestep is 1.15515625
640: Timestep is 1.15515625
356: Timestep is 1.15515625
1174: Timestep is 1.15515625
1443: Timestep is 1.15515625
641: Timestep is 1.15515625
357: Timestep is 1.15515625
1175: Timestep is 1.15515625
1444: Timestep is 1.15515625
1996: Timestep is 1.15515625
642: Timestep is 1.15515625
358: Timestep is 1.15515625
1176: Timestep is 1.15515625
1445: Timestep is 1.15515625
1997: Timestep is 1.15515625
1722: Timestep is 1.15515625
643: Timestep is 1.15515625
359: Timestep is 1.15515625
1177: Timestep is 1.15515625
1446: Timestep is 1.15515625
1998: Timestep is 1.15515625
1723: Timestep is 1.15515625
644: Timestep is 1.15515625
360: Timestep is 1.15515625
1178: Timestep is 1.15515625
1447: Timestep is 1.15515625
1999: Timestep is 1.15515625
112: Timestep is 1.15515625
1724: Timestep is 1.15515625
645: Timestep is 1.15515625
361: Timestep is 1.15515625
113: Timestep is 1.15515625
1725: Timestep is 1.15515625
646: Timestep is 1.15515625
1448: Timestep is 1.15515625
2000: Timestep is 1.15515625
903: Timestep is 1.15515625
114: Timestep is 1.15515625
1727: Timestep is 1.15515625
1449: Timestep is 1.15515625
2001: Timestep is 1.15515625
115: Timestep is 1.15515625
1728: Timestep is 1.15515625
904: Timestep is 1.15515625
116: Timestep is 1.15515625
1179: Timestep is 1.15515625
1729: Timestep is 1.15515625
905: Timestep is 1.15515625
117: Timestep is 1.15515625
906: Timestep is 1.15515625
362: Timestep is 1.15515625
907: Timestep is 1.15515625
1180: Timestep is 1.15515625
908: Timestep is 1.15515625
647: Timestep is 1.15515625
363: Timestep is 1.15515625
1181: Timestep is 1.15515625
1450: Timestep is 1.15515625
2002: Timestep is 1.15515625
648: Timestep is 1.15515625
364: Timestep is 1.15515625
1182: Timestep is 1.15515625
1451: Timestep is 1.15515625
2003: Timestep is 1.15515625
649: Timestep is 1.15515625
365: Timestep is 1.15515625
1183: Timestep is 1.15515625
1730: Timestep is 1.15515625
1452: Timestep is 1.15515625
2004: Timestep is 1.15515625
650: Timestep is 1.15515625
1184: Timestep is 1.15515625
366: Timestep is 1.15515625
118: Timestep is 1.15515625
1731: Timestep is 1.15515625
652: Timestep is 1.15515625
1453: Timestep is 1.15515625
2005: Timestep is 1.15515625
367: Timestep is 1.15515625
1732: Timestep is 1.15515625
1454: Timestep is 1.15515625
2006: Timestep is 1.15515625
119: Timestep is 1.15515625
909: Timestep is 1.15515625
1733: Timestep is 1.15515625
1455: Timestep is 1.15515625
2007: Timestep is 1.15515625
120: Timestep is 1.15515625
121: Timestep is 1.15515625
1734: Timestep is 1.15515625
910: Timestep is 1.15515625
122: Timestep is 1.15515625
1185: Timestep is 1.15515625
1735: Timestep is 1.15515625
653: Timestep is 1.15515625
368: Timestep is 1.15515625
123: Timestep is 1.15515625
1186: Timestep is 1.15515625
911: Timestep is 1.15515625
1187: Timestep is 1.15515625
654: Timestep is 1.15515625
369: Timestep is 1.15515625
912: Timestep is 1.15515625
1188: Timestep is 1.15515625
655: Timestep is 1.15515625
1456: Timestep is 1.15515625
370: Timestep is 1.15515625
913: Timestep is 1.15515625
1189: Timestep is 1.15515625
1736: Timestep is 1.15515625
656: Timestep is 1.15515625
2008: Timestep is 1.15515625
914: Timestep is 1.15515625
657: Timestep is 1.15515625
371: Timestep is 1.15515625
915: Timestep is 1.15515625
124: Timestep is 1.15515625
1190: Timestep is 1.15515625
1737: Timestep is 1.15515625
658: Timestep is 1.15515625
1457: Timestep is 1.15515625
2010: Timestep is 1.15515625
916: Timestep is 1.15515625
125: Timestep is 1.15515625
1738: Timestep is 1.15515625
1458: Timestep is 1.15515625
372: Timestep is 1.15515625
2011: Timestep is 1.15515625
126: Timestep is 1.15515625
1739: Timestep is 1.15515625
1459: Timestep is 1.15515625
373: Timestep is 1.15515625
2012: Timestep is 1.15515625
917: Timestep is 1.15515625
127: Timestep is 1.15515625
1740: Timestep is 1.15515625
1460: Timestep is 1.15515625
